Project Name:,A1.1-Site-Plan-Rev.0.pdf
Customer:,ACME Contracting
,
,
Key Words,Page,Count,Sentence(s)
Materials
Quartz,0,0,
Granite,0,0,
Aluminum,0,0,
Concrete,1,7,|Concrete sidewalk, see Civil drawings;
Concrete patio; see Civil drawings for
Concrete curb and gutter; see Civil dr
Concrete curb adjacent to stoop, elimi
Concrete pavement with stoop, see Deta
Concrete slab, slope 1/8" per foot to 
Concrete pad with artificial turf
|
,
Competitors
TMI,0,0,
Case Systems,0,0,
Leedo,0,0,
Saco,0,0,
Hansen Company,0,0,
ACG,0,0,
Wilkie,0,0,
Randawg Corp,0,0,
,
Characteristics
Face Frame,0,0,
PLAM,0,0,
Cabinet,0,0,
Countertop,0,0,
Casework,0,0,
Millwork,0,0,
Woodworking,0,0,
